crops,Area Acres,Per Area yield (KG),Production in (KG),Year_range,crop_type,year mid point,crop indexing,location
corianderleaf,49836.3,471.66,23505850,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
corianderleaf,9972.96,921.95,9194550,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
corianderleaf,48451.87,466.95,22624570,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
corianderleaf,10260.36,949.97,9747010,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
corianderseed,44704,395,17642000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
corianderseed,43886,382,16779000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
corianderseed,42475,393,16680000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
corianderseed,50049,386,19295000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
corianderseed,50100,426.1,21346490,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
corianderseed,50020.01,430.2,21518840,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
corianderseed,50956.97,436.64,22249890,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
fenugreekplant(methi),366,505,185000,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
fenugreekplant(methi),328.38,551.5,181100,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
fenugreekplant(methi),224.59,588.14,132090,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
fenugreekplant(methi),369,501,185000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
fenugreekplant(methi),379,528,200000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
fenugreekplant(methi),348.42,567.22,197630,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
fenugreekplant(methi),239.12,564.9,135080,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
garlic,150117,2544,381851000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
garlic,163733,2598,425401000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
garlic,176464,2618,461970000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
garlic,177262,2631,466389000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
garlic,181778,2670.5,485448000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
garlic,180034.75,2786.19,501611520,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
garlic,178435.56,2952.43,526819160,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
garlic,177114.66,3099.16,548907160,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
garlic,174515.45,3023.6,527665180,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
garlic,174488.16,3241.95,565682200,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
ginger,23400,3303,77290000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
ginger,22998,3369,77478000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
ginger,23745,3345,79438000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
ginger,23747,3379,80234000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
ginger,25462,3333.9,84887650,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
ginger,25393.53,3217.98,81715760,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
ginger,25770.41,3187.87,82152730,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
ginger,25687.7,3259.39,83726180,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
ginger,25668.22,3240.38,83174870,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
ginger,25829.52,3263.99,84307420,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
joyeen,32.55,276.5,9000,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
joyeen,27.35,358.32,9800,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
joyeen,23.15,313.17,7250,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
joyeen,9.94,252.52,2151000,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
joyeen,12.05,299.59,3610,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
mint,9,1000,9000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
mint,11.39,519,5910,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
mint,9.54,411.95,3930,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
mint,25.43,2499.02,63550,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
mint,46.33,2120.01,98220,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
mint,34.25,2521.75,46370,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
mint,72.92,1326.93,96760,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
onion,438406,3958,1735334000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
onion,458969,4067,1866502000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
onion,441105,3939,1737714000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
onion,426157,4231,1802868000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
onion,457809,4268,1953800000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
onion,480105.91,4725.53,2268754080,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
onion,507557.05,4959.19,2517070760,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
onion,502909.23,5064.52,2546994260,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
onion,513526.97,5681.01,2917354260,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
onion,535598.74,6014.64,3221431020,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
othercondimentandspices(temporary),7157,565,4044000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
othercondimentandspices(temporary),10329,640,6606000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
othercondimentandspices(temporary),9287,691,6414000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
turmeric,62014,2256,139877000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
turmeric,62746,2288,143542000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
turmeric,63549,2360,149985000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
turmeric,69645,2117,147439000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
turmeric,82113,3485,286158000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
turmeric,65233.84,3337.8,217737700,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
turmeric,65361.42,3552.86,232219800,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
turmeric,66054.78,3633.74,240026130,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
turmeric,65856.96,3706.88,244124090,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
turmeric,65674.94,3696.35,242757820,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
Cotton(Summer)(Comilla),18793,32.004,605764.6,2015-2016,FIBER,2015.5,1,Bangladesh
