CROP NAME,Crop type,Area Under garden(acre),Average Yield per fruit bearing tree,In garden production,In garden prduction (KG),Outside garden production,total production m tons,total production in KG,Year range,Year mid range,crop indexing,,,,,,,,,
Green Coconut,Fruits (Permanent),55360.28,71.18,,,,457088.21,457088210,2022-2023,2022.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),56665.53,69.88,,,,469159.32,469159320.00,2023-2024,2023.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),53543.98,69.58,,,,459131.14,459131140,2024-2025,2024.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,84,68,3051,,62963,66014,66014000,2015-2016,2015.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,396,65,1670,,69449,71119,71119000,2016-2017,2016.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,48879,70,2320,,72052,74372,74372000,2017-2018,2017.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,50202,99,1595,,102595,104190,104190000,2018-2019,2018.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,50313,68,2516,,70495,73011,73011000,2019-2020,2019.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,12207.67,67.24,645.05,,78415.65,79060.7,79060700,2020-2021,2020.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,12708.34,63.78,905.64,,76051.76,76957.4,76957400,2021-2022,2021.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,11176.57,65.74,,,,75305.86,75305860,2022-2023,2022.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,20605.91,64.62,,,,74593.94,74593940.00,2023-2024,2023.5,2,,,,,,,,,
Green Palm (Taler Shash),Sugar Crop,20630.74,67.13,,,,79092,79092000,2024-2025,2024.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),4786,24,63703,,138019,201722,201722000,2015-2016,2015.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),7223,26,89153,,133558,222711,222711000,2016-2017,2016.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),5722,28,108747,,147928,256675,256675000,2017-2018,2017.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),21776,39,109550,,243266,352816,352816000,2018-2019,2018.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),19811,43,180593,,210832,391425,391425000,2019-2020,2019.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),26393.13,30.34,130608.27,,161732.83,292341.1,292341100,2020-2021,2020.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),21923.94,30.46,137863.66,,170071.6,307935.26,307935260,2021-2022,2021.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),21833.2,31.15,,,,316155.88,316155880,2022-2023,2022.5,2,,,,,,,,,
Green Papaya,Vegetable (Summer),23466.01,31.44,,,,318568.06,318568060.00,2023-2024,2023.5,2,,,,,,,,,
Green Papaya ,Vegetable (Summer),24360.68,32.96,,,,340448.73,340448730,2024-2025,2024.5,2,,,,,,,,,
Guava,Fruits (Permanent),8794,23,90434,,123874,214308,214308000,2015-2016,2015.5,2,,,,,,,,,
Guava,Fruits (Permanent),11526,22,105592,,123784,229376,229376000,2016-2017,2016.5,2,,,,,,,,,
Guava,Fruits (Permanent),11365,23,112987,,128517,241504,241504000,2017-2018,2017.5,2,,,,,,,,,
Guava,Fruits (Permanent),67344.92,23.98,112644,,113384,226028,226028000,2019-2020,2019.5,2,,,,,,,,,
Guava,Fruits (Permanent),58618,24.81,117213,,126744,243957,243957000,2020-2021,2020.5,2,,,,,,,,,
Guava,Fruits (Permanent),4474200,25.19,117359,,127498,244357,244357000,2021-2022,2021.5,2,,,,,,,,,
Guava,Fruits (Permanent),45386.94,25.91,,,,256105.56,256105560,2022-2023,2022.5,2,,,,,,,,,
Guava,Fruits (Permanent),45569.77,26.42,,,,257984.64,257984640.00,2023-2024,2023.5,2,,,,,,,,,
Guava,Fruits (Permanent),44520.24,26.75,,,,266405.15,266405150,2024-2025,2024.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),195,48,906,,35265,36171,36171000,2015-2016,2015.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),247,50,2548,,36906,39454,39454000,2016-2017,2016.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),17733,53,3659,,36262,39921,39921000,2017-2018,2017.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),18437,53,13150,,27371,40521,40521000,2018-2019,2018.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),18970,54,11174,,34895,46069,46069000,2019-2020,2019.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),11417,47.03,4067,,38460,42527,42527000,2020-2021,2020.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),11737,46.6,3593,,40208.12,43801.12,43801120,2021-2022,2021.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),11261.25,48.51,,,,43810844.28,43810844280,2022-2023,2022.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),10956.72,46.41,,,,45408.37,45408370.00,2023-2024,2023.5,2,,,,,,,,,
Hog-plum (Amra),Fruits (Permanent),11126.53,46.61,,,,46402.95,46402950,2024-2025,2024.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),41014,116,672444,,365433,1037877,1037877000,2018-2019,2018.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),27334,128,231536,,799617,1031153,1031153000,2015-2016,2015.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),35342,122,25063,,799275,1049912,1049912000,2016-2017,2016.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),24731,121,228396,,847129,1075525,1075525000,2017-2018,2017.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),40896,118.3,572643,,429113,1001756,1001756000,2019-2020,2019.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),44630,124.44,219135,,877866,1097001,1097001000,2020-2021,2020.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),69161,116.74,197530,,852360,1049890,1049890000,2021-2022,2021.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),75842.04,118.88,,,,1062302.28,1062302280,2022-2023,2022.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),112863.9,113.53,,,,1025364.69,1025364690.00,2023-2024,2023.5,2,,,,,,,,,
Jack fruit,Fruits (Permanent),108740.78,114.39,,,,1020820.8,1020820800,2024-2025,2024.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),5267,35,22000,,64314,86314,86314000,2015-2016,2015.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),7062,36,24035,,65840,89875,89875000,2016-2017,2016.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),4292,48,22549,,91644,114193,114193000,2017-2018,2017.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),39763,52,26079,,103072,129151,129151000,2018-2019,2018.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),38506,53.83,26643,,104324,130967,130967000,2019-2020,2019.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),38652,43.96,30347,,77611,107958,107958000,2020-2021,2020.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),40436.62,39.09,27390.8,,67486.6,94877.4,94877400,2021-2022,2021.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),17357.8,37.86,,,,96844.29,96844290,2022-2023,2022.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),21120.49,38.37,,,,100818.76,100818760.00,2023-2024,2023.5,2,,,,,,,,,
Jujube (Kul),Fruits (Permanent),20855.19,38.01,,,,101523.92,101523920,2024-2025,2024.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),2193,50,14,,4037,4051,4051000,2018-2019,2018.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),3045,42,68,,4051,4034,4034000,2019-2020,2019.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),3141,44.1,43,,4285.8,4328.8,4328800,2020-2021,2020.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),3242.32,47.43,17.2,,4717.78,4734.98,4734980,2021-2022,2021.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),3488.2,44.37,,,,4578.18,4578180,2022-2023,2022.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),1217.07,45.24,,,,4607.85,4607850.00,2023-2024,2023.5,2,,,,,,,,,
Kathbell,Fruits (Permanent),1242.39,44.99,,,,4663.33,4663330,2024-2025,2024.5,2,,,,,,,,,
Lichi,Fruits (Permanent),43901,56,29199,,50635,79834,79834000,2018-2019,2018.5,2,,,,,,,,,
Lichi,Fruits (Permanent),5649,59,27859,,49846,77705,77705000,2015-2016,2015.5,2,,,,,,,,,
